Z (um),Deflection (um)
0.0666,-0.01468
0.0665,-0.014698
0.0664,-0.014715
0.0663,-0.014677
0.0662,-0.01468
0.0661,-0.01468
0.066,-0.014698
0.0659,-0.014703
0.0658,-0.014715
0.0657,-0.0147
0.0656,-0.01468
0.0655,-0.014698
0.0654,-0.014729
0.0653,-0.0147
0.0652,-0.014712
0.0651,-0.014689
0.065,-0.014689
0.0649,-0.014721
0.0648,-0.014706
0.0647,-0.014715
0.0646,-0.014752
0.0645,-0.014749
0.0644,-0.014732
0.0643,-0.014698
0.0642,-0.014663
0.0641,-0.014709
0.064,-0.014663
0.0639,-0.014683
0.0638,-0.014698
0.0637,-0.014715
0.0636,-0.014712
0.0635,-0.01468
0.0634,-0.01466
0.0633,-0.014703
0.0632,-0.014712
0.0631,-0.014677
0.063,-0.014643
0.0629,-0.014677
0.0628,-0.01468
0.0627,-0.014703
0.0626,-0.014744
0.0625,-0.014732
0.0624,-0.014706
0.0623,-0.014715
0.0622,-0.014741
0.0621,-0.014712
0.062,-0.014709
0.0619,-0.014721
0.0618,-0.016694
0.0617,-0.018358
0.0616,-0.018317
0.0615,-0.018303
0.0614,-0.018277
0.0613,-0.018303
0.0612,-0.0183
0.0611,-0.018257
0.061,-0.018277
0.0609,-0.018257
0.0608,-0.01824
0.0607,-0.018254
0.0606,-0.018268
0.0605,-0.018234
0.0604,-0.018231
0.0603,-0.018208
0.0602,-0.018234
0.0601,-0.018194
0.06,-0.018222
0.0599,-0.018248
0.0598,-0.018217
0.0597,-0.018225
0.0596,-0.018214
0.0595,-0.018196
0.0594,-0.018168
0.0593,-0.018188
0.0592,-0.018125
0.0591,-0.018156
0.059,-0.01813
0.0589,-0.018107
0.0588,-0.018102
0.0587,-0.018125
0.0586,-0.01815
0.0585,-0.018122
0.0584,-0.018142
0.0583,-0.018125
0.0582,-0.018084
0.0581,-0.018087
0.058,-0.018067
0.0579,-0.018012
0.0578,-0.01803
0.0577,-0.018004
0.0576,-0.017998
0.0575,-0.017981
0.0574,-0.017943
0.0573,-0.017935
0.0572,-0.017912
0.0571,-0.01786
0.057,-0.017848
0.0569,-0.017914
0.0568,-0.01784
0.0567,-0.017834
0.0566,-0.017811
0.0565,-0.017753
0.0564,-0.01775
0.0563,-0.017768
0.0562,-0.017748
0.0561,-0.017733
0.056,-0.017733
0.0559,-0.017722
0.0558,-0.017687
0.0557,-0.017679
0.0556,-0.017704
0.0555,-0.017667
0.0554,-0.017641
0.0553,-0.017621
0.0552,-0.017607
0.0551,-0.017615
0.055,-0.017618
0.0549,-0.017569
0.0548,-0.017572
0.0547,-0.017561
0.0546,-0.01752
0.0545,-0.017543
0.0544,-0.017474
0.0543,-0.017494
0.0542,-0.01746
0.0541,-0.01744
0.054,-0.017463
0.0539,-0.017443
0.0538,-0.017397
0.0537,-0.017365
0.0536,-0.017365
0.0535,-0.017313
0.0534,-0.017287
0.0533,-0.017235
0.0532,-0.01725
0.0531,-0.017276
0.053,-0.017224
0.0529,-0.017224
0.0528,-0.017169
0.0527,-0.017123
0.0526,-0.01712
0.0525,-0.01712
0.0524,-0.017089
0.0523,-0.017028
0.0522,-0.017046
0.0521,-0.016997
0.052,-0.016994
0.0519,-0.017008
0.0518,-0.016953
0.0517,-0.016933
0.0516,-0.01691
0.0515,-0.016864
0.0514,-0.016882
0.0513,-0.016841
0.0512,-0.016778
0.0511,-0.016784
0.051,-0.016764
0.0509,-0.016758
0.0508,-0.016718
0.0507,-0.01672
0.0506,-0.016729
0.0505,-0.01668
0.0504,-0.016666
0.0503,-0.0166
0.0502,-0.016577
0.0501,-0.016562
0.05,-0.016516
0.0499,-0.016525
0.0498,-0.016487
0.0497,-0.016456
0.0496,-0.016427
0.0495,-0.016436
