Z (um),Deflection (um)
0.01495,-0.0082926
0.0148,-0.0082552
0.01465,-0.0082235
0.0145,-0.0081919
0.01435,-0.0081545
0.0142,-0.0081458
0.01405,-0.0080768
0.0139,-0.0080279
0.01375,-0.0079962
0.0136,-0.0079444
0.01345,-0.0079156
0.0133,-0.0079415
0.01315,-0.0079128
0.013,-0.0078638
0.01285,-0.0078121
0.0127,-0.0078322
0.01255,-0.0078063
0.0124,-0.0077229
0.01225,-0.0077056
0.0121,-0.0076682
0.01195,-0.0075905
0.0118,-0.0075301
0.01165,-0.0075272
0.0115,-0.0074754
0.01135,-0.0074351
0.0112,-0.0074006
0.01105,-0.0073661
0.0109,-0.0074294
0.01075,-0.0073143
0.0106,-0.0072625
0.01045,-0.0072538
0.0103,-0.0072481
0.01015,-0.0072107
0.01,-0.0072251
0.00985,-0.0071762
0.0097,-0.0071445
0.00955,-0.0071071
0.0094,-0.006992
0.00925,-0.0068913
0.0091,-0.0068712
0.00895,-0.0068539
0.0088,-0.0067877
0.00865,-0.0067704
0.0085,-0.0067388
0.00835,-0.0067417
0.0082,-0.0066381
0.00805,-0.0065748
0.0079,-0.0064913
0.00775,-0.0063791
0.0076,-0.0062899
0.00745,-0.0062813
0.0073,-0.0061547
0.00715,-0.0060569
0.007,-0.0060137
0.00685,-0.0059907
0.0067,-0.0058238
0.00655,-0.0057519
0.0064,-0.0056742
0.00625,-0.0056166
0.0061,-0.0053692
0.00595,-0.005326
0.0058,-0.0051275
0.00565,-0.0050095
0.0055,-0.0049404
0.00535,-0.004857
0.0052,-0.0046901
0.00505,-0.0045923
0.0049,-0.0044398
0.00475,-0.0042786
0.0046,-0.0042873
0.00445,-0.0041146
0.0043,-0.0039046
0.00415,-0.0038154
0.004,-0.0037233
0.00385,-0.0035449
0.0037,-0.0034413
0.00355,-0.0032773
0.0034,-0.0031162
0.00325,-0.0029694
0.0031,-0.0029435
0.00295,-0.0028169
0.0028,-0.0027047
0.00265,-0.0025522
0.0025,-0.0025091
0.00235,-0.0024084
0.0022,-0.0023623
0.00205,-0.0022645
0.0019,-0.0021609
0.00175,-0.0020458
0.0016,-0.0019336
0.00145,-0.0017984
0.0013,-0.0016631
0.00115,-0.001571
0.001,-0.0013926
0.00085,-0.0012574
0.0007,-0.0011538
0.00055,-0.00090925
0.0004,-0.00086033
0.00025,-0.00067043
0.0001,-0.00061576
-5e-05,-0.00059274
-0.0002,-0.00048052
-0.00035,-0.00041146
-0.0005,-0.00015538
-0.00065,-4.8915e-05
-0.0008,1.4387e-05
-0.00095,0.00015826
-0.0011,0.00040283
-0.00125,0.00054958
-0.0014,0.00062151
-0.00155,0.00081142
-0.0017,0.00099845
-0.00185,0.0011107
-0.002,0.0012315
-0.00215,0.0013667
-0.0023,0.0015365
-0.00245,0.0017379
-0.0026,0.0019192
-0.00275,0.0021177
-0.0029,0.0022156
-0.00305,0.0022271
-0.0032,0.002394
-0.00335,0.0026069
-0.0035,0.0026846
-0.00365,0.002886
-0.0038,0.0030385
-0.00395,0.0031824
-0.0041,0.0032831
-0.00425,0.0034126
-0.0044,0.0035708
-0.00455,0.0037435
-0.0047,0.003965
-0.00485,0.0040082
-0.005,0.0041866
-0.005,0.0041664
-0.00485,0.0040974
-0.0047,0.0039017
-0.00455,0.0036859
-0.0044,0.0035852
-0.00425,0.0034528
-0.0041,0.0032572
-0.00395,0.0030558
-0.0038,0.0028141
-0.00365,0.0026328
-0.0035,0.0025177
-0.00335,0.0023508
